data;valor;dia;mes;ano;ano_mes
01/02/2020;134.36;1;2;2020;2020_2
01/03/2020;136.03;1;3;2020;2020_3
01/04/2020;118.32;1;4;2020;2020_4
01/05/2020;119.45;1;5;2020;2020_5
01/06/2020;125.8;1;6;2020;2020_6
01/07/2020;135.81;1;7;2020;2020_7
01/08/2020;135.61;1;8;2020;2020_8
01/09/2020;137.09;1;9;2020;2020_9
01/10/2020;139.8;1;10;2020;2020_10
01/11/2020;138.14;1;11;2020;2020_11
01/12/2020;139.27;1;12;2020;2020_12
01/01/2021;131.12;1;1;2021;2021_1
01/02/2021;134.17;1;2;2021;2021_2
01/03/2021;144.72;1;3;2021;2021_3
01/04/2021;139.28;1;4;2021;2021_4
01/05/2021;137.69;1;5;2021;2021_5
01/06/2021;137.91;1;6;2021;2021_6
01/07/2021;143.07;1;7;2021;2021_7
01/08/2021;141.97;1;8;2021;2021_8
01/09/2021;138.78;1;9;2021;2021_9
01/10/2021;138.02;1;10;2021;2021_10
01/11/2021;139.75;1;11;2021;2021_11
01/12/2021;141.61;1;12;2021;2021_12
01/01/2022;131.55;1;1;2022;2022_1
01/02/2022;136.57;1;2;2022;2022_2
01/03/2022;149.17;1;3;2022;2022_3
01/04/2022;142.8;1;4;2022;2022_4
01/05/2022;142.76;1;5;2022;2022_5
01/06/2022;142.35;1;6;2022;2022_6
01/07/2022;149.5;1;7;2022;2022_7
01/08/2022;149.6;1;8;2022;2022_8
01/09/2022;144.45;1;9;2022;2022_9
01/10/2022;142.37;1;10;2022;2022_10
01/11/2022;140.82;1;11;2022;2022_11
01/12/2022;142.74;1;12;2022;2022_12
